Year,Temperature (degree),Absolute Humidity (g/m3 ),Aerosol Concentration (mug/m^3),Cloud Lifetime,Relative Humidity,     MERRA-2 Surface Pressure (kPa),Wind Speed at 10 Meters (m/s) , Precipitation Corrected Sum (mm) 
2007,33.4,9.4,70.4,2.8,63.75,98.98,2.47,5.27
2008,24.8,7.2,86.3,4.6,69.19,98.88,2.82,5.27
2009,26.7,13.4,77.3,3.4,79.19,98.86,2.2,5.27
2010,30.8,16.8,36.4,2.1,78.38,98.9,1.84,5.27
2011,29.2,6.8,38.9,3.6,72.12,98.76,2.03,5.27
2012,19.4,8.7,68.2,6.2,75.38,98.92,2.16,5.27
2013,20.6,10.8,88.2,3.2,76.44,98.94,2.16,5.27
2014,23,11.3,77.3,5.2,82.69,98.89,2.07,10.55
2015,25.5,12.4,67,4,71.12,99.06,2.73,5.27
2016,33.4,10.87,80.3,3.4,64.69,99.03,2.4,5.27
2017,38,17.9,43,5.1,77.69,98.88,2.04,5.27
2018,30.8,15.2,37.87,2.2,68.62,98.94,2.07,5.27
2019,15.4,8.5,59.4,5.4,78.94,98.97,2.05,5.27
2020,34.6,10.7,60.3,3,69.25,98.98,2.57,5.27
2021,37.9,13.6,86.7,2.1,77,98.85,1.9,4.38
2022,22.3,11.4,49.8,1,73.38,98.94,2.53,4.84
,,,,,,,,
